employee_id,name,role,department
CM_E031,Çağrı Alıcı 31,Çağrı Alıcı,Genel Çağrı
CM_E032,Yönlendirici 32,Yönlendirici,Polis Yönlendirme
CM_E033,Vardiya Amiri 33,Vardiya Amiri,Yönetim
CM_E034,Çağrı Alıcı 34,Çağrı Alıcı,Genel Çağrı
CM_E035,Vardiya Amiri 35,Vardiya Amiri,Yönetim
CM_E036,Çağrı Alıcı 36,Çağrı Alıcı,Genel Çağrı
CM_E037,Çağrı Alıcı 37,Çağrı Alıcı,Genel Çağrı
CM_E038,Çağrı Alıcı 38,Çağrı Alıcı,Genel Çağrı
CM_E039,Yönlendirici 39,Yönlendirici,Polis Yönlendirme
CM_E040,Çağrı Alıcı 40,Çağrı Alıcı,Genel Çağrı
CM_E041,Yönlendirici 41,Yönlendirici,İtfaiye Yönlendirme
CM_E042,Yönlendirici 42,Yönlendirici,Polis Yönlendirme
CM_E043,Çağrı Alıcı 43,Çağrı Alıcı,Genel Çağrı
CM_E044,Yönlendirici 44,Yönlendirici,Sağlık Yönlendirme
CM_E045,Çağrı Alıcı 45,Çağrı Alıcı,Genel Çağrı
CM_E046,Vardiya Amiri 46,Vardiya Amiri,Yönetim
CM_E047,Yönlendirici 47,Yönlendirici,Sağlık Yönlendirme
CM_E048,Çağrı Alıcı 48,Çağrı Alıcı,Genel Çağrı
CM_E049,Yönlendirici 49,Yönlendirici,Sağlık Yönlendirme
CM_E050,Yönlendirici 50,Yönlendirici,Polis Yönlendirme
CM_E051,Çağrı Alıcı 51,Çağrı Alıcı,Genel Çağrı
CM_E052,Çağrı Alıcı 52,Çağrı Alıcı,Genel Çağrı
CM_E053,Vardiya Amiri 53,Vardiya Amiri,Yönetim
CM_E054,Yönlendirici 54,Yönlendirici,Sağlık Yönlendirme
CM_E055,Çağrı Alıcı 55,Çağrı Alıcı,Genel Çağrı
CM_E056,Yönlendirici 56,Yönlendirici,İtfaiye Yönlendirme
CM_E057,Yönlendirici 57,Yönlendirici,Sağlık Yönlendirme
CM_E058,Yönlendirici 58,Yönlendirici,İtfaiye Yönlendirme
CM_E059,Yönlendirici 59,Yönlendirici,Polis Yönlendirme
CM_E060,Teknik Destek 60,Teknik Destek,Teknik Operasyonlar
CM_E061,Teknik Destek 61,Teknik Destek,Teknik Operasyonlar
CM_E062,Çağrı Alıcı 62,Çağrı Alıcı,Genel Çağrı
CM_E063,Yönlendirici 63,Yönlendirici,Polis Yönlendirme
CM_E064,Yönlendirici 64,Yönlendirici,Polis Yönlendirme
CM_E065,Yönlendirici 65,Yönlendirici,Sağlık Yönlendirme
CM_E066,Çağrı Alıcı 66,Çağrı Alıcı,Genel Çağrı
CM_E067,Çağrı Alıcı 67,Çağrı Alıcı,Genel Çağrı
CM_E068,Vardiya Amiri 68,Vardiya Amiri,Yönetim
CM_E069,Vardiya Amiri 69,Vardiya Amiri,Yönetim
CM_E070,Vardiya Amiri 70,Vardiya Amiri,Yönetim
CM_E071,Yönlendirici 71,Yönlendirici,Sağlık Yönlendirme
CM_E072,Yönlendirici 72,Yönlendirici,İtfaiye Yönlendirme
CM_E073,Çağrı Alıcı 73,Çağrı Alıcı,Genel Çağrı
CM_E074,Teknik Destek 74,Teknik Destek,Teknik Operasyonlar
CM_E075,Yönlendirici 75,Yönlendirici,Polis Yönlendirme
CM_E076,Çağrı Alıcı 76,Çağrı Alıcı,Genel Çağrı
CM_E077,Çağrı Alıcı 77,Çağrı Alıcı,Genel Çağrı
CM_E078,Yönlendirici 78,Yönlendirici,Sağlık Yönlendirme
CM_E079,Çağrı Alıcı 79,Çağrı Alıcı,Genel Çağrı
CM_E080,Çağrı Alıcı 80,Çağrı Alıcı,Genel Çağrı
